location_type,country,state,location_name,quarter,from_date,to_date,transaction_category,payment_type,transaction_count,transaction_amount,transaction_amount_crores,avg_transaction_value
national,India,All States,National,Q1 2018,01/01/18,28/03/18,Recharge & bill payments,TOTAL,72550406,14472713559,1447.271356,199.4849424
national,India,All States,National,Q1 2018,01/01/18,28/03/18,Peer-to-peer payments,TOTAL,46982705,1.47246E+11,14724.58835,3134.044401
national,India,All States,National,Q1 2018,01/01/18,28/03/18,Merchant payments,TOTAL,5368669,4656678915,465.6678915,867.3805212
national,India,All States,National,Q1 2018,01/01/18,28/03/18,Financial Services,TOTAL,3762820,815853105.1,81.58531051,216.8195941
national,India,All States,National,Q1 2018,01/01/18,28/03/18,Others,TOTAL,5761576,4643217301,464.3217301,805.8936134
national,India,All States,National,Q2 2018,01/04/18,28/06/18,Recharge & bill payments,TOTAL,92033715,24351225616,2435.122562,264.5902713
national,India,All States,National,Q2 2018,01/04/18,28/06/18,Peer-to-peer payments,TOTAL,74558816,2.64768E+11,26476.76711,3551.124941
national,India,All States,National,Q2 2018,01/04/18,28/06/18,Merchant payments,TOTAL,10613941,9052859939,905.2859939,852.9216376
national,India,All States,National,Q2 2018,01/04/18,28/06/18,Financial Services,TOTAL,5186569,1176991419,117.6991419,226.9306394
national,India,All States,National,Q2 2018,01/04/18,28/06/18,Others,TOTAL,4973199,5027454207,502.7454207,1010.909519
national,India,All States,National,Q3 2018,01/07/18,28/09/18,Peer-to-peer payments,TOTAL,202021587,4.25967E+11,42596.74217,2108.524282
national,India,All States,National,Q3 2018,01/07/18,28/09/18,Recharge & bill payments,TOTAL,102290514,31364311860,3136.431186,306.6199458
national,India,All States,National,Q3 2018,01/07/18,28/09/18,Merchant payments,TOTAL,25175938,12433150985,1243.315098,493.8505562
national,India,All States,National,Q3 2018,01/07/18,28/09/18,Financial Services,TOTAL,6218596,891447809.4,89.14478094,143.3519414
national,India,All States,National,Q3 2018,01/07/18,28/09/18,Others,TOTAL,5594554,4449556278,444.9556278,795.3370863
national,India,All States,National,Q4 2018,01/10/18,28/12/18,Peer-to-peer payments,TOTAL,200235002,5.94996E+11,59499.57094,2971.48702
national,India,All States,National,Q4 2018,01/10/18,28/12/18,Recharge & bill payments,TOTAL,131917248,39578607327,3957.860733,300.0260233
national,India,All States,National,Q4 2018,01/10/18,28/12/18,Merchant payments,TOTAL,71498510,30497289208,3049.728921,426.5444022
national,India,All States,National,Q4 2018,01/10/18,28/12/18,Financial Services,TOTAL,5216165,868584631.6,86.85846316,166.5178597
national,India,All States,National,Q4 2018,01/10/18,28/12/18,Others,TOTAL,8246415,5802659774,580.2659774,703.6584715
national,India,All States,National,Q1 2019,01/01/19,28/03/19,Peer-to-peer payments,TOTAL,404841331,8.87893E+11,88789.31086,2193.1879
national,India,All States,National,Q1 2019,01/01/19,28/03/19,Recharge & bill payments,TOTAL,180504739,55473071029,5547.307103,307.3219647
national,India,All States,National,Q1 2019,01/01/19,28/03/19,Merchant payments,TOTAL,110496541,40575915113,4057.591511,367.2143467
national,India,All States,National,Q1 2019,01/01/19,28/03/19,Financial Services,TOTAL,4627353,603852042,60.3852042,130.4962128
national,India,All States,National,Q1 2019,01/01/19,28/03/19,Others,TOTAL,8526177,5484252455,548.4252455,643.2252644
national,India,All States,National,Q2 2019,01/04/19,28/06/19,Peer-to-peer payments,TOTAL,384711008,1.19643E+12,119642.5282,3109.932538
national,India,All States,National,Q2 2019,01/04/19,28/06/19,Recharge & bill payments,TOTAL,209898072,76865848587,7686.584859,366.2055961
national,India,All States,National,Q2 2019,01/04/19,28/06/19,Merchant payments,TOTAL,206467182,73415840740,7341.584074,355.5811632
national,India,All States,National,Q2 2019,01/04/19,28/06/19,Financial Services,TOTAL,2650384,545329308.1,54.53293081,205.7548295
national,India,All States,National,Q2 2019,01/04/19,28/06/19,Others,TOTAL,11656557,6969423864,696.9423864,597.897292
national,India,All States,National,Q3 2019,01/07/19,28/09/19,Peer-to-peer payments,TOTAL,461911865,1.44051E+12,144051.2511,3118.587377
national,India,All States,National,Q3 2019,01/07/19,28/09/19,Merchant payments,TOTAL,376320628,1.23209E+11,12320.93985,327.4053807
national,India,All States,National,Q3 2019,01/07/19,28/09/19,Recharge & bill payments,TOTAL,240103872,1.01521E+11,10152.09298,422.8208773
national,India,All States,National,Q3 2019,01/07/19,28/09/19,Financial Services,TOTAL,2870292,617120839.9,61.71208399,215.0028081
national,India,All States,National,Q3 2019,01/07/19,28/09/19,Others,TOTAL,13804992,6705143104,670.5143104,485.7042368
national,India,All States,National,Q4 2019,01/10/19,28/12/19,Peer-to-peer payments,TOTAL,703497002,1.96395E+12,196395.2535,2791.699936
national,India,All States,National,Q4 2019,01/10/19,28/12/19,Merchant payments,TOTAL,456578271,1.7424E+11,17423.96465,381.6205403
national,India,All States,National,Q4 2019,01/10/19,28/12/19,Recharge & bill payments,TOTAL,285310032,1.16345E+11,11634.49962,407.7844562
national,India,All States,National,Q4 2019,01/10/19,28/12/19,Financial Services,TOTAL,2476840,551204225.4,55.12042254,222.5433316
national,India,All States,National,Q4 2019,01/10/19,28/12/19,Others,TOTAL,12583379,4811822510,481.182251,382.3951031
national,India,All States,National,Q1 2020,01/01/20,28/03/20,Peer-to-peer payments,TOTAL,693998661,2.32056E+12,232055.7269,3343.748914
national,India,All States,National,Q1 2020,01/01/20,28/03/20,Merchant payments,TOTAL,566355270,2.31298E+11,23129.80422,408.3974397
national,India,All States,National,Q1 2020,01/01/20,28/03/20,Recharge & bill payments,TOTAL,351300991,1.40374E+11,14037.35504,399.5819937
national,India,All States,National,Q1 2020,01/01/20,28/03/20,Financial Services,TOTAL,1358171,773848137,77.3848137,569.772243
national,India,All States,National,Q1 2020,01/01/20,28/03/20,Others,TOTAL,10027019,4116905196,411.6905196,410.5811703
national,India,All States,National,Q2 2020,01/04/20,28/06/20,Peer-to-peer payments,TOTAL,631031364,2.24392E+12,224391.5932,3555.949926
national,India,All States,National,Q2 2020,01/04/20,28/06/20,Recharge & bill payments,TOTAL,448842692,1.71591E+11,17159.06865,382.2958233
national,India,All States,National,Q2 2020,01/04/20,28/06/20,Merchant payments,TOTAL,363275861,2.26908E+11,22690.8226,624.6168557
national,India,All States,National,Q2 2020,01/04/20,28/06/20,Financial Services,TOTAL,1682062,1751767444,175.1767444,1041.440473
national,India,All States,National,Q2 2020,01/04/20,28/06/20,Others,TOTAL,3779461,1987466180,198.746618,525.8596875
national,India,All States,National,Q3 2020,01/07/20,28/09/20,Peer-to-peer payments,TOTAL,916790263,3.28705E+12,328705.1873,3585.391344
national,India,All States,National,Q3 2020,01/07/20,28/09/20,Merchant payments,TOTAL,672019839,4.05291E+11,40529.12079,603.0941118
national,India,All States,National,Q3 2020,01/07/20,28/09/20,Recharge & bill payments,TOTAL,436172619,2.04262E+11,20426.23557,468.306232
national,India,All States,National,Q3 2020,01/07/20,28/09/20,Financial Services,TOTAL,2531978,2673063433,267.3063433,1055.721429
national,India,All States,National,Q3 2020,01/07/20,28/09/20,Others,TOTAL,5541374,2789907564,278.9907564,503.4685556
national,India,All States,National,Q4 2020,01/10/20,28/12/20,Peer-to-peer payments,TOTAL,1249512647,4.47455E+12,447454.8495,3581.034979
national,India,All States,National,Q4 2020,01/10/20,28/12/20,Merchant payments,TOTAL,1127490136,6.84874E+11,68487.36393,607.4320453
national,India,All States,National,Q4 2020,01/10/20,28/12/20,Recharge & bill payments,TOTAL,479784084,2.27876E+11,22787.58408,474.9549817
national,India,All States,National,Q4 2020,01/10/20,28/12/20,Financial Services,TOTAL,2942567,3259168196,325.9168196,1107.593538
national,India,All States,National,Q4 2020,01/10/20,28/12/20,Others,TOTAL,9556404,5323095366,532.3095366,557.0186617
national,India,All States,National,Q1 2021,01/01/21,28/03/21,Merchant payments,TOTAL,1467948823,8.44467E+11,84446.66339,575.2698055
national,India,All States,National,Q1 2021,01/01/21,28/03/21,Peer-to-peer payments,TOTAL,1447600942,5.17086E+12,517085.6442,3572.017876
national,India,All States,National,Q1 2021,01/01/21,28/03/21,Recharge & bill payments,TOTAL,530118545,2.60182E+11,26018.24407,490.8004883
national,India,All States,National,Q1 2021,01/01/21,28/03/21,Financial Services,TOTAL,3075296,3573884779,357.3884779,1162.127086
national,India,All States,National,Q1 2021,01/01/21,28/03/21,Others,TOTAL,8851525,5199901892,519.9901892,587.4583071
national,India,All States,National,Q2 2021,01/04/21,28/06/21,Peer-to-peer payments,TOTAL,1744272888,6.16317E+12,616316.5773,3533.372453
national,India,All States,National,Q2 2021,01/04/21,28/06/21,Merchant payments,TOTAL,1499626469,1.00353E+12,100353.0942,669.1872697
national,India,All States,National,Q2 2021,01/04/21,28/06/21,Recharge & bill payments,TOTAL,685024821,3.00559E+11,30055.94613,438.7570378
national,India,All States,National,Q2 2021,01/04/21,28/06/21,Financial Services,TOTAL,3397384,3651996523,365.1996523,1074.943699
national,India,All States,National,Q2 2021,01/04/21,28/06/21,Others,TOTAL,9061732,5598131365,559.8131365,617.7771937
national,India,All States,National,Q3 2021,01/07/21,28/09/21,Merchant payments,TOTAL,2316924871,1.42697E+12,142696.5559,615.8877125
